Age,Interest,Aptitude,Career
16,Literature,Communication,Journalist
19,Sports,Creative,Sports Scientist
15,Business,Practical,Entrepreneurship
17,Science,Practical,Medicine
16,Maths,Communication,Engineering
25,Maths,Practical,Commerce
20,Science,Logical,Biotechnology
21,Maths,Leadership,Engineering
23,Maths,Communication,Engineering
26,Social Science,Communication,Psychologist
30,Literature,Research,Writer
30,Science,Communication,Research
28,Maths,Practical,Data Science
28,Science,Creative,Biotechnology
29,Science,Analytical,Biotechnology
28,Arts,Communication,Literature
18,Science,Communication,Research
28,Business,Leadership,Finance
29,Social Science,Analytical,Lawyer
28,Literature,Practical,Teacher
25,Literature,Leadership,Journalist
28,Maths,Logical,Engineering
29,Maths,Analytical,Data Science
30,Literature,Leadership,Teacher
18,Maths,Analytical,Engineering
22,Business,Leadership,Finance
18,Technology,Communication,AI/ML Engineer
29,Maths,Research,Engineering
24,Arts,Research,Fine Arts
15,Science,Communication,Research
28,Arts,Leadership,Graphic Design
22,Business,Leadership,Management
21,Arts,Logical,Literature
29,Technology,Logical,Cybersecurity
15,Technology,Leadership,AI/ML Engineer
25,Literature,Leadership,Journalist
19,Sports,Analytical,Athlete
30,Maths,Communication,Commerce
30,Maths,Logical,Commerce
24,Arts,Practical,Graphic Design
15,Business,Research,Management
28,Maths,Leadership,Commerce
26,Literature,Practical,Teacher
26,Maths,Analytical,Data Science
18,Maths,Analytical,Data Science
25,Sports,Leadership,Athlete
21,Science,Practical,Biotechnology
26,Arts,Analytical,Graphic Design
22,Literature,Leadership,Writer
18,Science,Communication,Biotechnology
15,Business,Leadership,Finance
22,Maths,Leadership,Engineering
22,Science,Communication,Biotechnology
18,Literature,Logical,Journalist
19,Maths,Research,Engineering
22,Science,Research,Research
17,Social Science,Leadership,Sociologist
17,Technology,Leadership,AI/ML Engineer
15,Literature,Leadership,Writer
23,Science,Practical,Medicine
16,Arts,Creative,Fine Arts
20,Business,Communication,Finance
21,Technology,Practical,Cybersecurity
30,Literature,Research,Teacher
30,Science,Leadership,Medicine
23,Arts,Research,Graphic Design
25,Arts,Practical,Literature
27,Maths,Practical,Engineering
18,Business,Research,Management
23,Maths,Analytical,Data Science
26,Maths,Creative,Engineering
19,Social Science,Practical,Lawyer
19,Sports,Communication,Athlete
21,Sports,Analytical,Coach
30,Science,Communication,Biotechnology
24,Sports,Analytical,Athlete
19,Technology,Analytical,Software Engineer
16,Business,Leadership,Finance
24,Sports,Logical,Coach
28,Sports,Analytical,Coach
28,Technology,Practical,AI/ML Engineer
30,Sports,Leadership,Coach
17,Science,Analytical,Biotechnology
15,Social Science,Leadership,Sociologist
22,Business,Creative,Entrepreneurship
25,Science,Logical,Medicine
15,Arts,Creative,Graphic Design
23,Literature,Logical,Writer
26,Technology,Research,Cybersecurity
15,Arts,Creative,Fine Arts
29,Social Science,Leadership,Lawyer
24,Literature,Practical,Teacher
17,Maths,Practical,Engineering
23,Literature,Leadership,Teacher
16,Sports,Creative,Coach
16,Arts,Practical,Fine Arts
15,Literature,Logical,Journalist
22,Literature,Creative,Teacher
25,Maths,Logical,Commerce
28,Maths,Communication,Engineering
19,Literature,Leadership,Writer
24,Science,Practical,Biotechnology
18,Science,Communication,Research
15,Business,Practical,Finance
30,Sports,Communication,Coach
15,Social Science,Leadership,Psychologist
18,Science,Research,Research
27,Sports,Analytical,Coach
25,Sports,Research,Athlete
18,Literature,Research,Journalist
18,Sports,Communication,Athlete
18,Science,Communication,Medicine
15,Technology,Logical,Software Engineer
16,Maths,Leadership,Commerce
30,Sports,Creative,Coach
24,Arts,Analytical,Fine Arts
20,Sports,Practical,Sports Scientist
21,Science,Leadership,Research
26,Literature,Practical,Teacher
25,Social Science,Communication,Psychologist
26,Literature,Leadership,Journalist
23,Business,Leadership,Entrepreneurship
28,Arts,Practical,Literature
25,Technology,Leadership,Software Engineer
29,Technology,Research,Cybersecurity
15,Science,Leadership,Biotechnology
18,Social Science,Leadership,Sociologist
20,Business,Analytical,Management
30,Maths,Practical,Engineering
16,Business,Logical,Finance
24,Literature,Logical,Journalist
16,Social Science,Practical,Sociologist
27,Social Science,Communication,Psychologist
24,Arts,Practical,Fine Arts
15,Sports,Practical,Coach
24,Social Science,Practical,Sociologist
23,Sports,Communication,Sports Scientist
30,Social Science,Research,Sociologist
21,Business,Creative,Finance
21,Arts,Analytical,Fine Arts
17,Sports,Analytical,Athlete
29,Business,Analytical,Management
18,Technology,Research,Cybersecurity
30,Technology,Analytical,AI/ML Engineer
23,Social Science,Communication,Lawyer
19,Maths,Logical,Engineering
27,Business,Communication,Entrepreneurship
26,Sports,Creative,Coach
28,Sports,Practical,Coach
30,Literature,Analytical,Journalist
17,Literature,Leadership,Writer
29,Science,Practical,Biotechnology
25,Science,Leadership,Medicine
21,Technology,Leadership,AI/ML Engineer
28,Science,Logical,Biotechnology
30,Science,Practical,Biotechnology
23,Literature,Analytical,Teacher
30,Literature,Creative,Teacher
30,Maths,Creative,Data Science
29,Science,Practical,Medicine
20,Social Science,Creative,Sociologist
15,Business,Communication,Management
15,Sports,Leadership,Coach
25,Science,Leadership,Biotechnology
22,Arts,Practical,Fine Arts
19,Literature,Research,Writer
28,Science,Communication,Medicine
19,Literature,Research,Journalist
18,Science,Creative,Biotechnology
20,Science,Creative,Medicine
23,Technology,Leadership,AI/ML Engineer
15,Arts,Logical,Graphic Design
17,Arts,Analytical,Fine Arts
28,Arts,Leadership,Fine Arts
30,Arts,Analytical,Literature
16,Technology,Leadership,Software Engineer
20,Literature,Analytical,Writer
19,Business,Analytical,Entrepreneurship
20,Literature,Logical,Teacher
15,Literature,Research,Teacher
30,Literature,Communication,Journalist
17,Arts,Analytical,Graphic Design
28,Arts,Research,Fine Arts
26,Arts,Communication,Graphic Design
15,Arts,Research,Literature
20,Arts,Creative,Fine Arts
17,Technology,Communication,Cybersecurity
15,Technology,Creative,AI/ML Engineer
20,Social Science,Leadership,Sociologist
16,Social Science,Research,Lawyer
30,Sports,Communication,Sports Scientist
26,Science,Practical,Medicine
18,Arts,Creative,Fine Arts
22,Technology,Creative,Software Engineer
29,Technology,Analytical,Software Engineer
18,Science,Communication,Research
15,Arts,Creative,Literature
20,Maths,Logical,Data Science
25,Social Science,Analytical,Psychologist
26,Literature,Creative,Teacher
19,Maths,Practical,Commerce
28,Sports,Analytical,Sports Scientist
26,Literature,Logical,Journalist
24,Science,Leadership,Biotechnology
16,Sports,Leadership,Athlete
29,Science,Analytical,Biotechnology
28,Arts,Logical,Fine Arts
19,Literature,Communication,Journalist
16,Literature,Logical,Teacher
25,Maths,Logical,Engineering
23,Maths,Logical,Data Science
22,Business,Leadership,Entrepreneurship
18,Arts,Analytical,Fine Arts
22,Business,Analytical,Management
23,Literature,Analytical,Journalist
16,Literature,Analytical,Writer
27,Business,Analytical,Management
21,Maths,Analytical,Engineering
20,Literature,Analytical,Writer
